t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
0.00000,4.650000,4.650000,0.965000,4.721778,1.597488,4.805701,1.379677,4.767787,1.082203,4.645008,0.853175,4.794507,0.114164
0.01667,4.649837,4.649837,0.964970,4.721745,1.597436,4.805636,1.379583,4.736722,1.087735,4.638454,0.847155,4.864089,0.127724
0.03333,4.648225,4.648225,0.964881,4.721131,1.597195,4.804543,1.379099,4.705064,1.096210,4.631891,0.846837,4.929860,0.154224
0.05000,4.642813,4.642813,0.964736,4.716740,1.596891,4.799726,1.378542,4.695162,1.097494,4.634699,0.844738,4.967328,0.168088
0.06667,4.631083,4.631083,0.964540,4.706900,1.596404,4.789174,1.377668,4.677423,1.099401,4.612895,0.847653,4.934577,0.165730
0.08333,4.610899,4.610899,0.964295,4.688234,1.595923,4.770101,1.376886,4.640556,1.106445,4.566609,0.857302,4.862425,0.163767
0.10000,4.580785,4.580785,0.964004,4.659796,1.595373,4.741277,1.376017,4.586725,1.119046,4.499224,0.874333,4.756556,0.165618
0.11667,4.533668,4.533668,0.963671,4.615166,1.594334,4.695947,1.374518,4.512541,1.137274,4.408633,0.899064,4.617270,0.174517
0.13333,4.442581,4.442581,0.963299,4.524530,1.593973,4.606122,1.374227,4.394633,1.161629,4.274175,0.931337,4.431176,0.193874
0.15000,4.325736,4.325736,0.962891,4.408460,1.593528,4.490773,1.373798,4.253422,1.190504,4.116168,0.969801,4.217889,0.222701
0.16667,4.200326,4.200326,0.962450,4.283659,1.593094,4.366804,1.373429,4.107795,1.222254,3.954664,1.012241,4.001126,0.259679
0.18333,4.077131,4.077131,0.961979,4.161292,1.592595,4.245079,1.372905,3.969362,1.254889,3.801642,1.056317,3.794335,0.302354
0.20000,3.962533,3.962533,0.961483,4.047272,1.592119,4.131780,1.372416,3.844523,1.286168,3.664285,1.098869,3.608155,0.346959
0.21667,3.859943,3.859943,0.960964,3.945669,1.591557,4.030657,1.371764,3.736262,1.314426,3.545552,1.137799,3.446284,0.390360
0.23333,3.770815,3.770815,0.960425,3.857545,1.590985,3.942882,1.371064,3.644713,1.338625,3.445566,1.171569,3.309739,0.429901
0.25000,3.695336,3.695336,0.959869,3.783184,1.590374,3.868780,1.370280,3.569105,1.357911,3.363575,1.198770,3.198846,0.462981
0.26667,3.632919,3.632919,0.959300,3.722099,1.589717,3.807599,1.369325,3.507682,1.372251,3.297366,1.219489,3.110141,0.489100
0.28333,3.582527,3.582527,0.958722,3.672907,1.589092,3.758379,1.368442,3.458745,1.381831,3.245252,1.233539,3.042662,0.507261
0.30000,3.542895,3.542895,0.958136,3.634622,1.588403,3.720049,1.367505,3.420778,1.387441,3.205202,1.242193,2.992325,0.518864
0.31667,3.512677,3.512677,0.957547,3.605890,1.587690,3.691115,1.366493,3.392101,1.389986,3.175306,1.246562,2.956332,0.525055
0.33333,3.490535,3.490535,0.956958,3.585276,1.586990,3.670126,1.365407,3.371252,1.390621,3.153689,1.248363,2.930843,0.528042
0.35000,3.477543,3.477543,0.949984,3.594234,1.577359,3.675300,1.350657,3.377173,1.383540,3.156028,1.246918,2.914752,0.532559
0.36667,3.473072,3.473072,0.949926,3.589816,1.577295,3.670325,1.350545,3.372299,1.384344,3.150735,1.248401,2.907266,0.534786
0.38333,3.474329,3.474329,0.949827,3.590591,1.577289,3.670781,1.350599,3.372873,1.385427,3.150839,1.250249,2.904907,0.537479
0.40000,3.479625,3.479625,0.949689,3.595362,1.577253,3.675610,1.350682,3.377823,1.386538,3.155375,1.252042,2.907257,0.540030
0.41667,3.487995,3.487995,0.949514,3.603125,1.577202,3.684156,1.350829,3.386425,1.387141,3.163773,1.252987,2.914565,0.541355
0.43333,3.498923,3.498923,0.949304,3.613046,1.577184,3.695537,1.351182,3.397864,1.387948,3.175112,1.253964,2.925363,0.542523
0.45000,3.512165,3.512165,0.949061,3.625440,1.577109,3.709548,1.351537,3.411993,1.389213,3.189244,1.255229,2.939502,0.543786
0.46667,3.527627,3.527627,0.948787,3.640008,1.577011,3.725961,1.351987,3.428845,1.392967,3.206978,1.257532,2.961888,0.544475
0.48333,3.545287,3.545287,0.948483,3.656399,1.576953,3.744342,1.352595,3.449791,1.409118,3.235290,1.262300,3.027714,0.537433
0.50000,3.565147,3.565147,0.948153,3.674936,1.576873,3.764882,1.353297,3.477752,1.439957,3.280549,1.270617,3.153289,0.527432
0.51667,3.587202,3.587202,0.947798,3.695720,1.576760,3.787563,1.354033,3.511871,1.472126,3.336074,1.280659,3.297579,0.527641
0.53333,3.611423,3.611423,0.947419,3.718556,1.576632,3.812253,1.354792,3.548965,1.498426,3.391911,1.291310,3.424242,0.538003
0.55000,3.637752,3.637752,0.947019,3.743425,1.576503,3.838844,1.355622,3.588090,1.520160,3.447203,1.301726,3.536596,0.553044
0.56667,3.666099,3.666099,0.946600,3.770258,1.576356,3.867343,1.356445,3.628534,1.537883,3.500962,1.311416,3.634967,0.569420
0.58333,3.696341,3.696341,0.946164,3.798753,1.576230,3.897497,1.357368,3.666845,1.549067,3.550810,1.316478,3.721915,0.582150
0.60000,3.728331,3.728331,0.945713,3.829325,1.576029,3.929362,1.358092,3.701900,1.553565,3.595507,1.316411,3.796600,0.589722
0.61667,3.761896,3.761896,0.945249,3.860998,1.575889,3.962398,1.358968,3.732627,1.551721,3.635037,1.310811,3.862748,0.592019
0.63333,3.796847,3.796847,0.944774,3.894222,1.575713,3.996781,1.359732,3.759575,1.543259,3.670452,1.299090,3.923110,0.588682
0.65000,3.832979,3.832979,0.944289,3.928755,1.575496,4.032325,1.360363,3.783153,1.527282,3.702131,1.280306,3.978082,0.578618
