t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
0.00000,0.000000,0.000000,0.965000,0.071778,1.597488,0.155904,1.379748,0.157805,1.079864,-0.003818,0.876386,0.011597,0.122564
0.01667,0.000008,0.000008,0.964981,0.071893,1.597453,0.155935,1.379680,0.126365,1.081260,-0.013184,0.862053,0.080670,0.113938
0.03333,0.000094,0.000094,0.964925,0.072477,1.597325,0.156375,1.379437,0.095547,1.085796,-0.020418,0.853239,0.150833,0.118963
0.05000,0.000385,0.000385,0.964833,0.073555,1.597113,0.157140,1.379046,0.065512,1.093518,-0.025898,0.850242,0.220045,0.137495
0.06667,0.001029,0.001029,0.964708,0.075335,1.596822,0.158440,1.378511,0.036939,1.104361,-0.029136,0.853016,0.288345,0.169128
0.08333,0.002165,0.002165,0.964550,0.077469,1.596516,0.160282,1.377976,0.016405,1.114879,-0.023739,0.858112,0.361714,0.210098
0.10000,0.003903,0.003903,0.964362,0.080628,1.596115,0.162981,1.377283,0.012490,1.117913,-0.009056,0.858922,0.422069,0.240353
0.11667,0.006323,0.006323,0.964144,0.084393,1.595704,0.166439,1.376639,0.004170,1.124468,-0.022045,0.865907,0.397852,0.239661
0.13333,0.009471,0.009471,0.963899,0.089013,1.595238,0.170720,1.375899,-0.007176,1.134496,-0.039735,0.876656,0.364652,0.240284
0.15000,0.013359,0.013359,0.963629,0.094275,1.594772,0.175750,1.375171,-0.020042,1.148037,-0.060305,0.891285,0.324851,0.243092
0.16667,0.017970,0.017970,0.963334,0.100471,1.594247,0.181683,1.374376,-0.032963,1.164963,-0.082266,0.909787,0.279768,0.248400
0.18333,0.023264,0.023264,0.963016,0.106933,1.593777,0.188244,1.373742,-0.044679,1.184856,-0.103833,0.931777,0.232298,0.256855
0.20000,0.029179,0.029179,0.962677,0.113941,1.593298,0.195321,1.373091,-0.054497,1.207178,-0.124376,0.956840,0.182715,0.268216
0.21667,0.035638,0.035638,0.962319,0.121425,1.592826,0.203037,1.372483,-0.061473,1.231145,-0.142706,0.984249,0.132636,0.282325
0.23333,0.042554,0.042554,0.961943,0.129318,1.592347,0.211203,1.371889,-0.065411,1.255989,-0.158481,1.013298,0.082626,0.298888
0.25000,0.049829,0.049829,0.961551,0.137662,1.591847,0.219874,1.371298,-0.066024,1.280653,-0.171259,1.042975,0.033385,0.317276
0.26667,0.057364,0.057364,0.961144,0.146062,1.591369,0.228596,1.370707,-0.063901,1.304365,-0.181118,1.072359,-0.013742,0.337169
0.28333,0.065058,0.065058,0.960724,0.154395,1.590923,0.237375,1.370203,-0.059379,1.326697,-0.188447,1.101067,-0.059341,0.358200
0.30000,0.072810,0.072810,0.960293,0.162817,1.590458,0.246145,1.369652,-0.052905,1.346718,-0.193309,1.127961,-0.102247,0.379478
0.31667,0.080526,0.080526,0.959852,0.170932,1.590042,0.254800,1.369236,-0.045089,1.364339,-0.196221,1.152850,-0.142574,0.400758
0.33333,0.088115,0.088115,0.959403,0.179138,1.589583,0.263430,1.368713,-0.036320,1.379112,-0.197648,1.175294,-0.180971,0.421475
0.35000,0.095492,0.095492,0.958947,0.187121,1.589119,0.271580,1.368100,-0.027462,1.391189,-0.198185,1.195172,-0.216929,0.441401
0.36667,0.102582,0.102582,0.958486,0.195045,1.588625,0.279563,1.367481,-0.018561,1.400362,-0.197798,1.212096,-0.249901,0.459895
0.38333,0.109319,0.109319,0.958022,0.202516,1.588083,0.287327,1.366856,-0.009933,1.406817,-0.196742,1.226062,-0.279661,0.476631
0.40000,0.115647,0.115647,0.957556,0.209711,1.587586,0.294543,1.366185,-0.001966,1.411383,-0.195036,1.237331,-0.304340,0.491291
0.41667,0.121521,0.121521,0.957090,0.216423,1.587088,0.301206,1.365490,0.005291,1.414438,-0.192899,1.246238,-0.324469,0.503801
0.43333,0.126907,0.126907,0.956625,0.222978,1.586521,0.307470,1.364641,0.011920,1.415745,-0.190465,1.252614,-0.340784,0.513745
0.45000,0.131783,0.131783,0.956163,0.228842,1.585985,0.313143,1.363866,0.017749,1.415877,-0.187849,1.256814,-0.352874,0.521090
0.46667,0.136138,0.136138,0.955706,0.234514,1.585409,0.318413,1.363003,0.023019,1.415014,-0.185235,1.259443,-0.362651,0.526608
0.48333,0.139977,0.139977,0.955255,0.239659,1.584827,0.323154,1.362107,0.027641,1.413439,-0.182683,1.260677,-0.369921,0.530289
