t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
0.00000,0.000000,0.000000,0.965000,0.071778,1.597488,0.155904,1.379748,0.157805,1.079864,-0.003818,0.876386,0.011597,0.122564
0.01667,0.000011,0.000011,0.964978,0.071970,1.597435,0.156012,1.379662,0.126442,1.081242,-0.013106,0.862035,0.080748,0.113920
0.03333,0.000118,0.000118,0.964913,0.072607,1.597297,0.156421,1.379377,0.095481,1.085760,-0.020574,0.853247,0.150396,0.118906
0.05000,0.000481,0.000481,0.964808,0.073833,1.597056,0.157335,1.378957,0.065597,1.093464,-0.025906,0.850223,0.219764,0.137382
0.06667,0.001283,0.001283,0.964664,0.075898,1.596723,0.158888,1.378339,0.037282,1.104236,-0.028889,0.852916,0.288330,0.168906
0.08333,0.002687,0.002687,0.964483,0.078617,1.596349,0.161232,1.377704,0.013936,1.116506,-0.027686,0.859975,0.354030,0.209752
0.10000,0.004823,0.004823,0.964267,0.082121,1.595929,0.164314,1.376978,0.005348,1.122712,-0.019080,0.863977,0.405132,0.240646
0.11667,0.007776,0.007776,0.964019,0.086729,1.595428,0.168498,1.376171,-0.007448,1.133344,-0.038621,0.875333,0.369179,0.241142
0.13333,0.011590,0.011590,0.963740,0.091991,1.594939,0.173543,1.375426,-0.022422,1.148442,-0.061897,0.891567,0.325245,0.244558
0.15000,0.016262,0.016262,0.963432,0.098249,1.594403,0.179539,1.374619,-0.037663,1.167856,-0.086966,0.912680,0.275064,0.251291
0.16667,0.021757,0.021757,0.963098,0.105018,1.593900,0.186322,1.373921,-0.051380,1.191081,-0.111700,0.938275,0.221317,0.261811
0.18333,0.028006,0.028006,0.962738,0.112411,1.593397,0.193907,1.373262,-0.062153,1.217147,-0.134335,0.967460,0.166398,0.276036
0.20000,0.034916,0.034916,0.962356,0.120421,1.592883,0.202149,1.372612,-0.069229,1.244943,-0.153960,0.999220,0.111390,0.293456
0.21667,0.042379,0.042379,0.961953,0.128945,1.592371,0.210984,1.371971,-0.072261,1.273359,-0.170155,1.032567,0.056655,0.313488
0.23333,0.050271,0.050271,0.961532,0.137746,1.591867,0.220206,1.371386,-0.071319,1.300900,-0.182266,1.065831,0.004786,0.335399
0.25000,0.058464,0.058464,0.961093,0.146653,1.591391,0.229590,1.370857,-0.067081,1.326781,-0.190922,1.098242,-0.044757,0.358543
0.26667,0.066826,0.066826,0.960640,0.155691,1.590917,0.239182,1.370343,-0.060058,1.350047,-0.196495,1.128796,-0.091956,0.382075
0.28333,0.075228,0.075228,0.960174,0.164853,1.590411,0.248716,1.369769,-0.051212,1.370047,-0.199573,1.156607,-0.136123,0.405279
0.30000,0.083546,0.083546,0.959697,0.173765,1.589936,0.258161,1.369241,-0.041270,1.386533,-0.200715,1.181240,-0.177099,0.427606
0.31667,0.091664,0.091664,0.959211,0.182578,1.589424,0.267184,1.368593,-0.031159,1.399414,-0.200638,1.202321,-0.214611,0.448447
0.33333,0.099478,0.099478,0.958718,0.190955,1.588951,0.275824,1.368017,-0.021311,1.408888,-0.199823,1.219936,-0.249041,0.467540
0.35000,0.106896,0.106896,0.958221,0.199311,1.588403,0.284358,1.367344,-0.011813,1.414701,-0.198345,1.233660,-0.280113,0.484103
0.36667,0.113841,0.113841,0.957721,0.206849,1.587864,0.292196,1.366712,-0.003274,1.418268,-0.196411,1.244289,-0.306002,0.498292
0.38333,0.120250,0.120250,0.957219,0.214612,1.587268,0.299625,1.365813,0.004559,1.419634,-0.193889,1.251738,-0.326598,0.509504
0.40000,0.126081,0.126081,0.956719,0.221681,1.586671,0.306427,1.364920,0.011485,1.419420,-0.191149,1.256600,-0.342602,0.517962
0.41667,0.131306,0.131306,0.956222,0.228304,1.586047,0.312659,1.363986,0.017632,1.418034,-0.188270,1.259366,-0.354705,0.523959
0.43333,0.135919,0.135919,0.955730,0.234126,1.585450,0.318171,1.363085,0.022918,1.415889,-0.185395,1.260397,-0.363092,0.527630
0.45000,0.139932,0.139932,0.955245,0.239614,1.584817,0.323170,1.362105,0.027676,1.413551,-0.182648,1.260788,-0.369885,0.530401
0.46663,0.143370,0.143370,0.954771,0.244572,1.584176,0.327566,1.361094,0.032131,1.412881,-0.179243,1.261574,-0.371520,0.532496
0.48306,0.146257,0.146257,0.954313,0.248843,1.583569,0.331533,1.360154,0.036991,1.416805,-0.172863,1.263397,-0.357861,0.532439
0.49911,0.148642,0.148642,0.953877,0.252423,1.583012,0.335496,1.359377,0.043319,1.427166,-0.160561,1.265904,-0.317678,0.528450
0.51470,0.150595,0.150595,0.953467,0.255931,1.582402,0.339624,1.358546,0.053091,1.447203,-0.137763,1.270720,-0.237620,0.523357
0.52981,0.152190,0.152190,0.953084,0.258652,1.581889,0.343322,1.357937,0.065845,1.471806,-0.107086,1.277732,-0.134358,0.524222
0.54450,0.153498,0.153498,0.952727,0.261023,1.581402,0.346786,1.357406,0.081378,1.497107,-0.071291,1.286725,-0.023125,0.534262
0.55887,0.154577,0.154577,0.952392,0.263399,1.580891,0.350153,1.356869,0.099717,1.521908,-0.031593,1.297576,0.090103,0.553459
0.57308,0.155476,0.155476,0.952077,0.265346,1.580438,0.353144,1.356473,0.120671,1.545975,0.011080,1.310272,0.202337,0.580930
0.58726,0.156232,0.156232,0.951780,0.266989,1.580021,0.355944,1.356176,0.145119,1.569497,0.056252,1.325228,0.309660,0.615085
0.60158,0.156872,0.156872,0.951499,0.268570,1.579611,0.358603,1.355925,0.174293,1.592529,0.086461,1.347888,0.342870,0.638825
0.61618,0.157417,0.157417,0.951233,0.270093,1.579204,0.361023,1.355675,0.228369,1.624660,0.102007,1.397514,0.239970,0.656243
0.63118,0.157881,0.157881,0.950983,0.271268,1.578849,0.363294,1.355568,0.301432,1.649035,0.121427,1.461525,0.066206,0.709550
0.64664,0.158275,0.158275,0.950752,0.272534,1.578488,0.365445,1.355437,0.373407,1.655245,0.151558,1.519803,-0.093483,0.806733
0.66258,0.158607,0.158607,0.950542,0.273622,1.578164,0.367396,1.355394,0.438505,1.646755,0.190014,1.570513,-0.224085,0.940405
0.67891,0.158882,0.158882,0.950360,0.274594,1.577872,0.369134,1.355371,0.492789,1.628605,0.233350,1.612734,-0.316912,1.097248
0.69550,0.159108,0.159108,0.950211,0.275221,1.577667,0.370553,1.355494,0.534791,1.606437,0.278023,1.646808,-0.370338,1.261916
0.71217,0.159289,0.159289,0.950100,0.276038,1.577454,0.371891,1.355532,0.565171,1.584855,0.320869,1.673605,-0.389152,1.419866
0.72884,0.159435,0.159435,0.950029,0.276064,1.577411,0.372664,1.355839,0.551516,1.596584,0.325146,1.724319,-0.416946,1.590856
0.74550,0.159551,0.159551,0.950001,0.276294,1.577365,0.373378,1.356053,0.499847,1.627994,0.293330,1.785824,-0.460092,1.756332
0.76217,0.159643,0.159643,0.950000,0.276387,1.577365,0.373877,1.356300,0.441841,1.648408,0.252264,1.826228,-0.500298,1.872743
0.77884,0.159717,0.159717,0.950000,0.276460,1.577365,0.374238,1.356478,0.381953,1.656289,0.179808,1.819680,-0.574137,1.810705
0.79550,0.159776,0.159776,0.950000,0.276519,1.577365,0.374491,1.356600,0.324020,1.652233,0.107880,1.796603,-0.642138,1.719232
0.81217,0.159823,0.159823,0.950000,0.276566,1.577365,0.374616,1.356650,0.271100,1.638129,0.041428,1.759826,-0.696871,1.606763
0.82884,0.159860,0.159860,0.964990,0.237538,1.596016,0.327313,1.381672,0.162907,1.632506,-0.068424,1.751025,-0.804542,1.587794
0.84550,0.159889,0.159889,0.964939,0.239975,1.595550,0.327902,1.380385,0.126930,1.602999,-0.116616,1.693805,-0.828751,1.446059
0.86217,0.159912,0.159912,0.964847,0.240074,1.595466,0.328176,1.380260,0.097742,1.572217,-0.154784,1.633788,-0.832889,1.304110
0.87884,0.159931,0.159931,0.964715,0.240146,1.595350,0.328341,1.380025,0.075460,1.541266,-0.182427,1.573738,-0.818671,1.169130
0.89550,0.159946,0.159946,0.964546,0.240509,1.595165,0.328797,1.379680,0.043340,1.287695,-0.175381,1.147261,-0.404198,0.428820
0.91217,0.159957,0.159957,0.964341,0.240868,1.594951,0.329349,1.379334,0.034887,1.322420,-0.193191,1.197757,-0.472095,0.497238
0.92884,0.159966,0.159966,0.964103,0.240884,1.594762,0.329736,1.379051,0.029827,1.377689,-0.211241,1.280495,-0.569993,0.617313
0.94550,0.159973,0.159973,0.963834,0.241434,1.594466,0.330446,1.378546,0.039031,1.449428,-0.214328,1.391376,-0.672961,0.792903
0.96217,0.159979,0.159979,0.963536,0.241695,1.594192,0.331170,1.378190,0.071890,1.528927,-0.187881,1.520025,-0.751781,1.019495
0.97884,0.159984,0.159984,0.963210,0.242204,1.593860,0.331944,1.377670,0.134330,1.603272,-0.121154,1.651112,-0.780461,1.285286
0.99550,0.159987,0.159987,0.962858,0.242635,1.593515,0.332791,1.377204,0.224876,1.657029,-0.011906,1.764245,-0.739288,1.565677
