wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.00000,0.00000,1.00000,0.836112,4.65000,0.96500,4.64501,0.85317,4.79451,0.11416,6.20000,0.96500,6.21423,0.87582,6.21588,0.12184,4.80570,1.37968,4.76779,1.08220,4.72178,1.59749,4.65000,6.20000,0.30000,0.00000
0.00833,0.00833,1.00000,0.795473,4.64998,0.96499,4.64152,0.84948,4.82935,0.11926,6.20000,0.96500,6.21933,0.86814,6.18165,0.11510,4.80568,1.37967,4.75220,1.08460,4.72176,1.59748,4.64998,6.20000,0.30000,0.00000
0.01667,0.01667,1.00000,0.754451,4.64984,0.96497,4.63845,0.84716,4.86409,0.12772,6.20000,0.96500,6.22375,0.86178,6.14656,0.11177,4.80564,1.37958,4.73672,1.08773,4.72174,1.59744,4.64984,6.20000,0.30000,0.00000
0.02500,0.02500,1.00000,0.714187,4.64935,0.96493,4.63531,0.84629,4.89787,0.13950,6.20000,0.96500,6.22787,0.85690,6.11167,0.11193,4.80527,1.37943,4.72101,1.09164,4.72154,1.59735,4.64935,6.20000,0.30000,0.00000
0.03333,0.03333,1.00000,0.674657,4.64822,0.96488,4.63189,0.84684,4.92986,0.15422,6.20000,0.96500,6.23128,0.85337,6.07612,0.11553,4.80454,1.37910,4.70506,1.09621,4.72113,1.59719,4.64822,6.20000,0.30000,0.00000
0.04167,0.04167,1.00000,0.631405,4.64616,0.96482,4.63746,0.84505,4.96853,0.16764,6.20000,0.96500,6.23438,0.85134,6.04097,0.12259,4.80285,1.37880,4.69850,1.09767,4.71972,1.59703,4.64616,6.20000,0.30000,0.00000
0.05000,0.05000,1.00000,0.610950,4.64281,0.96474,4.63470,0.84474,4.96733,0.16809,6.20000,0.96500,6.23676,0.85067,6.00535,0.13307,4.79973,1.37854,4.69516,1.09749,4.71674,1.59689,4.64281,6.20000,0.30000,0.00000
0.05833,0.05833,1.00000,0.596538,4.63788,0.96464,4.62715,0.84539,4.95640,0.16709,6.20000,0.96500,6.23880,0.85152,5.97031,0.14696,4.79548,1.37812,4.68887,1.09784,4.71281,1.59665,4.63788,6.20000,0.30245,0.00000
0.06667,0.06667,1.00000,0.588485,4.63108,0.96454,4.61290,0.84765,4.93458,0.16573,6.20000,0.96500,6.24010,0.85373,5.93500,0.16423,4.78917,1.37767,4.67742,1.09940,4.70690,1.59640,4.63108,6.20000,0.30991,0.00000
0.07500,0.07500,1.00000,0.587070,4.62216,0.96442,4.59260,0.85160,4.90299,0.16447,6.20000,0.96500,6.24116,0.85747,5.90080,0.18468,4.78077,1.37728,4.66127,1.10225,4.69873,1.59616,4.62216,6.20000,0.32176,0.00000
0.08333,0.08333,1.00000,0.586834,4.61090,0.96429,4.56661,0.85730,4.86242,0.16377,6.20000,0.96500,6.23443,0.85846,5.85921,0.20446,4.77010,1.37689,4.64056,1.10644,4.68823,1.59592,4.61090,6.20000,0.33743,0.00000
0.09167,0.09167,1.00000,0.588940,4.59715,0.96416,4.53515,0.86487,4.81277,0.16385,6.20000,0.96500,6.22102,0.85650,5.81222,0.22296,4.75702,1.37641,4.61557,1.11200,4.67543,1.59564,4.59715,6.20000,0.35634,0.00000
0.10000,0.10000,1.00000,0.605219,4.58079,0.96400,4.49922,0.87433,4.75656,0.16562,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.74128,1.37602,4.58673,1.11905,4.65980,1.59537,4.58079,6.20000,0.37799,0.00000
0.10833,0.10833,1.00000,0.642362,4.56175,0.96384,4.45897,0.88583,4.69305,0.16910,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.72310,1.37548,4.55441,1.12756,4.64186,1.59504,4.56175,6.20000,0.40185,0.00000
0.11667,0.11667,1.00000,0.686688,4.53367,0.96367,4.40863,0.89906,4.61727,0.17452,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.69595,1.37452,4.51254,1.13727,4.61517,1.59433,4.53367,6.20000,0.42748,0.00000
0.12500,0.12500,1.00000,0.737968,4.49274,0.96349,4.34610,0.91430,4.52959,0.18298,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.65570,1.37441,4.45817,1.14879,4.57443,1.59416,4.49274,6.20000,0.45442,0.00000
0.13333,0.13333,1.00000,0.795589,4.44258,0.96330,4.27418,0.93134,4.43118,0.19387,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.60612,1.37423,4.39463,1.16163,4.52453,1.59397,4.44258,6.20000,0.48226,0.00000
0.14167,0.14167,1.00000,0.856962,4.38613,0.96310,4.19674,0.94989,4.32647,0.20714,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.55042,1.37405,4.32560,1.17559,4.46844,1.59376,4.38613,6.20000,0.51061,0.00000
0.15000,0.15000,1.00000,0.920700,4.32574,0.96289,4.11617,0.96980,4.21789,0.22270,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.49077,1.37380,4.25342,1.19050,4.40846,1.59353,4.32574,6.20000,0.53913,0.00000
0.15833,0.15833,1.00000,0.984835,4.26330,0.96267,4.03496,0.99070,4.10881,0.24033,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.42913,1.37359,4.18033,1.20615,4.34645,1.59329,4.26330,6.20000,0.56748,0.00000
0.16667,0.16667,1.00000,1.048268,4.20033,0.96245,3.95466,1.01224,4.00113,0.25968,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.36680,1.37343,4.10780,1.22225,4.28366,1.59309,4.20033,6.20000,0.59536,0.00000
0.17500,0.17500,1.00000,1.110434,4.13797,0.96222,3.87651,1.03425,3.89581,0.28050,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.30512,1.37321,4.03712,1.23861,4.22159,1.59287,4.13797,6.20000,0.62251,0.00000
0.18333,0.18333,1.00000,1.170469,4.07713,0.96198,3.80164,1.05632,3.79434,0.30235,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.24508,1.37290,3.96936,1.25489,4.16129,1.59259,4.07713,6.20000,0.64869,0.00000
0.19167,0.19167,1.00000,1.227388,4.01849,0.96173,3.73081,1.07788,3.69835,0.32458,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.18715,1.37261,3.90506,1.27075,4.10311,1.59233,4.01849,6.20000,0.67367,0.00000
0.20000,0.20000,1.00000,1.281001,3.96253,0.96148,3.66429,1.09887,3.60816,0.34696,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.13178,1.37242,3.84452,1.28617,4.04727,1.59212,3.96253,6.20000,0.69729,0.00000
0.20833,0.20833,1.00000,1.330758,3.90961,0.96123,3.60266,1.11874,3.52464,0.36878,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.07956,1.37219,3.78828,1.30070,3.99466,1.59187,3.90961,6.20000,0.71937,0.00000
0.21667,0.21667,1.00000,1.377552,3.85994,0.96096,3.54555,1.13780,3.44628,0.39036,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,4.03066,1.37176,3.73626,1.31443,3.94567,1.59156,3.85994,6.20000,0.73981,0.00000
0.22500,0.22500,1.00000,1.420345,3.81366,0.96070,3.49322,1.15542,3.37478,0.41078,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.98504,1.37139,3.68840,1.32709,3.89994,1.59126,3.81366,6.20000,0.75849,0.00000
0.23333,0.23333,1.00000,1.459283,3.77081,0.96042,3.44557,1.17157,3.30974,0.42990,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.94288,1.37106,3.64471,1.33863,3.85754,1.59098,3.77081,6.20000,0.77536,0.00000
0.24167,0.24167,1.00000,1.493996,3.73139,0.96015,3.40243,1.18604,3.25128,0.44734,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.90413,1.37072,3.60500,1.34894,3.81857,1.59070,3.73139,6.20000,0.79036,0.00000
0.25000,0.25000,1.00000,1.524819,3.69534,0.95987,3.36358,1.19877,3.19885,0.46298,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.86878,1.37028,3.56911,1.35791,3.78318,1.59037,3.69534,6.20000,0.80350,0.00000
0.25833,0.25833,1.00000,1.552237,3.66255,0.95959,3.32859,1.21003,3.15175,0.47706,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.83662,1.36985,3.53672,1.36576,3.75099,1.59006,3.66255,6.20000,0.81478,0.00000
0.26667,0.26667,1.00000,1.576231,3.63292,0.95930,3.29737,1.21949,3.11014,0.48910,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.80760,1.36932,3.50768,1.37225,3.72210,1.58972,3.63292,6.20000,0.82426,0.00000
0.27500,0.27500,1.00000,1.596834,3.60630,0.95901,3.26978,1.22723,3.07416,0.49904,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.78165,1.36889,3.48184,1.37756,3.69613,1.58939,3.60630,6.20000,0.83200,0.00000
0.28333,0.28333,1.00000,1.614755,3.58253,0.95872,3.24525,1.23354,3.04266,0.50726,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.75838,1.36844,3.45874,1.38183,3.67291,1.58909,3.58253,6.20000,0.83811,0.00000
0.29167,0.29167,1.00000,1.630222,3.56145,0.95843,3.22372,1.23860,3.01529,0.51398,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.73785,1.36799,3.43841,1.38517,3.65244,1.58878,3.56145,6.20000,0.84273,0.00000
0.30000,0.30000,1.00000,1.643138,3.54290,0.95814,3.20520,1.24219,2.99232,0.51886,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.72005,1.36750,3.42078,1.38744,3.63462,1.58840,3.54290,6.20000,0.84601,0.00000
0.30833,0.30833,1.00000,1.653987,3.52669,0.95784,3.18920,1.24474,2.97299,0.52240,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.70457,1.36699,3.40544,1.38900,3.61919,1.58802,3.52669,6.20000,0.84815,0.00000
0.31667,0.31667,1.00000,1.663283,3.51268,0.95755,3.17531,1.24656,2.95633,0.52505,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.69111,1.36649,3.39210,1.38999,3.60589,1.58769,3.51268,6.20000,0.84935,0.00000
0.32500,0.32500,1.00000,1.670899,3.50068,0.95725,3.16357,1.24756,2.94266,0.52665,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.67969,1.36599,3.38075,1.39041,3.59455,1.58736,3.50068,6.20000,0.84988,0.00000
0.33333,0.33333,1.00000,1.677410,3.49053,0.95696,3.15369,1.24836,2.93084,0.52804,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.67013,1.36541,3.37125,1.39062,3.58528,1.58699,3.49053,6.20000,0.85000,0.00000
0.34167,0.34167,1.00000,1.678634,3.48274,0.95000,3.16163,1.24632,2.92117,0.53168,6.20000,0.96500,6.21249,0.85563,5.78302,0.23591,3.68078,1.35065,3.38261,1.38319,3.59954,1.57736,3.48274,6.20000,0.85000,0.00000
0.35000,0.35000,1.00000,1.682007,3.47754,0.94998,3.15603,1.24692,2.91475,0.53256,6.20000,0.96500,6.21247,0.85564,5.78276,0.23608,3.67530,1.35066,3.37717,1.38354,3.59423,1.57736,3.47754,6.20000,0.85000,0.00000
0.35833,0.35833,1.00000,1.684461,3.47445,0.94996,3.15251,1.24766,2.91014,0.53367,6.20000,0.96500,6.21247,0.85563,5.78276,0.23608,3.67195,1.35060,3.37387,1.38395,3.59114,1.57734,3.47445,6.20000,0.85000,0.00000
0.36667,0.36667,1.00000,1.685917,3.47307,0.94993,3.15073,1.24840,2.90727,0.53479,6.20000,0.96499,6.21247,0.85563,5.78276,0.23607,3.67033,1.35055,3.37230,1.38434,3.58982,1.57730,3.47307,6.20000,0.85000,0.00000
0.37500,0.37500,1.00000,1.687108,3.47311,0.94988,3.15016,1.24945,2.90532,0.53630,6.20000,0.96499,6.21272,0.85566,5.78325,0.23594,3.66995,1.35060,3.37199,1.38497,3.58956,1.57731,3.47311,6.20000,0.85000,0.00000
0.38333,0.38333,1.00000,1.686943,3.47433,0.94983,3.15084,1.25025,2.90491,0.53748,6.20000,0.96498,6.21262,0.85565,5.78291,0.23610,3.67078,1.35060,3.37287,1.38543,3.59059,1.57729,3.47433,6.20000,0.85000,0.00000
0.39167,0.39167,1.00000,1.686825,3.47655,0.94976,3.15254,1.25128,2.90524,0.53898,6.20000,0.96498,6.21287,0.85568,5.78340,0.23596,3.67267,1.35063,3.37483,1.38603,3.59258,1.57727,3.47655,6.20000,0.85000,0.00000
0.40000,0.40000,1.00000,1.685382,3.47963,0.94969,3.15538,1.25204,2.90726,0.54003,6.20000,0.96497,6.21285,0.85568,5.78314,0.23612,3.67561,1.35068,3.37782,1.38654,3.59536,1.57725,3.47963,6.20000,0.85000,0.00000
0.40833,0.40833,1.00000,1.683795,3.48347,0.94961,3.15909,1.25257,2.91043,0.54075,6.20000,0.96496,6.21310,0.85570,5.78363,0.23598,3.67940,1.35081,3.38164,1.38689,3.59878,1.57726,3.48347,6.20000,0.85000,0.00000
0.41667,0.41667,1.00000,1.681383,3.48800,0.94951,3.16377,1.25299,2.91457,0.54136,6.20000,0.96495,6.21318,0.85571,5.78371,0.23599,3.68416,1.35083,3.38643,1.38714,3.60313,1.57720,3.48800,6.20000,0.85000,0.00000
0.42500,0.42500,1.00000,1.678926,3.49316,0.94941,3.16908,1.25345,2.91960,0.54191,6.20000,0.96494,6.21366,0.85577,5.78443,0.23588,3.68948,1.35098,3.39178,1.38752,3.60781,1.57719,3.49316,6.20000,0.85000,0.00000
0.43333,0.43333,1.00000,1.675676,3.49892,0.94930,3.17511,1.25396,2.92536,0.54252,6.20000,0.96493,6.21373,0.85577,5.78450,0.23589,3.69554,1.35118,3.39786,1.38795,3.61305,1.57718,3.49892,6.20000,0.85000,0.00000
0.44167,0.44167,1.00000,1.672087,3.50526,0.94919,3.18183,1.25456,2.93181,0.54321,6.20000,0.96492,6.21388,0.85579,5.78465,0.23590,3.70226,1.35135,3.40463,1.38846,3.61897,1.57715,3.50526,6.20000,0.85000,0.00000
0.45000,0.45000,1.00000,1.667996,3.51216,0.94906,3.18924,1.25523,2.93950,0.54379,6.20000,0.96490,6.21411,0.85581,5.78488,0.23593,3.70955,1.35154,3.41199,1.38921,3.62544,1.57711,3.51216,6.20000,0.85000,0.00000
0.45833,0.45833,1.00000,1.662741,3.51962,0.94893,3.19742,1.25618,2.94877,0.54435,6.20000,0.96489,6.21398,0.85581,5.78428,0.23625,3.71738,1.35180,3.41996,1.39050,3.63230,1.57710,3.51962,6.20000,0.85000,0.00000
0.46667,0.46667,1.00000,1.656957,3.52763,0.94879,3.20698,1.25753,2.96189,0.54447,6.20000,0.96487,6.21449,0.85585,5.78526,0.23597,3.72596,1.35199,3.42885,1.39297,3.64001,1.57701,3.52763,6.20000,0.85000,0.00000
0.47500,0.47500,1.00000,1.646142,3.53618,0.94864,3.21900,1.25945,2.98598,0.54236,6.20000,0.96486,6.21462,0.85587,5.78515,0.23615,3.73487,1.35228,3.43854,1.39861,3.64790,1.57699,3.53618,6.20000,0.85000,0.00000
0.48333,0.48333,1.00000,1.627285,3.54529,0.94848,3.23529,1.26230,3.02771,0.53743,6.20000,0.96484,6.21495,0.85590,5.78571,0.23602,3.74434,1.35260,3.44979,1.40912,3.65640,1.57695,3.54529,6.20000,0.85000,0.00000
0.49167,0.49167,1.00000,1.599463,3.55494,0.94832,3.25537,1.26591,3.08249,0.53199,6.20000,0.96482,6.21550,0.85597,5.78651,0.23592,3.75434,1.35297,3.46265,1.42275,3.66534,1.57692,3.55494,6.20000,0.85000,0.00000
0.50000,0.50000,1.00000,1.558601,3.56515,0.94815,3.28055,1.27062,3.15329,0.52743,6.20000,0.96481,6.21583,0.85605,5.78683,0.23601,3.76488,1.35330,3.47775,1.43996,3.67494,1.57687,3.56515,6.20000,0.85000,0.00000
0.50833,0.50833,1.00000,1.515386,3.57590,0.94798,3.30819,1.27552,3.22790,0.52581,6.20000,0.96479,6.21618,0.85604,5.78766,0.23566,3.77595,1.35369,3.49436,1.45692,3.68497,1.57683,3.57590,6.20000,0.85000,0.00000
