wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.00000,0.00000,1.00000,0.898121,0.00000,0.96500,-0.00382,0.87639,0.01160,0.12256,1.55000,0.96500,1.55382,0.87639,1.53840,0.12256,0.15590,1.37975,0.15781,1.07986,0.07178,1.59749,0.00000,1.55000,0.30000,0.00000
0.00833,0.00833,1.00000,0.857680,0.00000,0.96500,-0.00874,0.86855,0.04597,0.11656,1.55000,0.96500,1.55874,0.86855,1.50403,0.11656,0.15590,1.37974,0.14205,1.08018,0.07178,1.59748,0.00000,1.55000,0.30000,0.00000
0.01667,0.01667,1.00000,0.816877,0.00001,0.96498,-0.01318,0.86205,0.08067,0.11394,1.55000,0.96500,1.56321,0.86212,1.46936,0.11401,0.15594,1.37968,0.12636,1.08126,0.07189,1.59745,0.00001,1.55000,0.30000,0.00000
0.02500,0.02500,1.00000,0.775063,0.00003,0.96496,-0.01699,0.85690,0.11603,0.11475,1.55000,0.96500,1.56694,0.85699,1.43364,0.11489,0.15606,1.37959,0.11085,1.08314,0.07205,1.59741,0.00003,1.55000,0.30000,0.00000
0.03333,0.03333,1.00000,0.734022,0.00009,0.96492,-0.02042,0.85324,0.15083,0.11896,1.55000,0.96500,1.57049,0.85341,1.39867,0.11927,0.15637,1.37944,0.09555,1.08580,0.07248,1.59733,0.00009,1.55000,0.30000,0.00000
0.04167,0.04167,1.00000,0.692737,0.00020,0.96488,-0.02345,0.85102,0.18556,0.12659,1.55000,0.96500,1.57334,0.85121,1.36322,0.12710,0.15661,1.37928,0.08033,1.08928,0.07288,1.59724,0.00020,1.55000,0.30000,0.00000
0.05000,0.05000,1.00000,0.651935,0.00038,0.96483,-0.02590,0.85024,0.22005,0.13750,1.55000,0.96500,1.57592,0.85052,1.32833,0.13834,0.15714,1.37905,0.06551,1.09352,0.07356,1.59711,0.00038,1.55000,0.30000,0.00000
0.05833,0.05833,1.00000,0.611470,0.00065,0.96477,-0.02792,0.85096,0.25403,0.15167,1.55000,0.96500,1.57788,0.85125,1.29352,0.15294,0.15769,1.37881,0.05097,1.09858,0.07430,1.59699,0.00065,1.55000,0.30000,0.00000
0.06667,0.06667,1.00000,0.571028,0.00103,0.96471,-0.02914,0.85302,0.28835,0.16913,1.55000,0.96500,1.57945,0.85346,1.25909,0.17092,0.15844,1.37851,0.03694,1.10436,0.07534,1.59682,0.00103,1.55000,0.30000,0.00000
0.07500,0.07500,1.00000,0.530404,0.00153,0.96463,-0.02955,0.85653,0.32288,0.18998,1.55000,0.96500,1.58032,0.85705,1.22456,0.19226,0.15927,1.37830,0.02343,1.11096,0.07623,1.59669,0.00153,1.55000,0.30000,0.00000
0.08333,0.08333,1.00000,0.483879,0.00216,0.96455,-0.02374,0.85811,0.36171,0.21010,1.55000,0.96500,1.57422,0.85846,1.18430,0.21312,0.16028,1.37798,0.01641,1.11488,0.07747,1.59652,0.00216,1.55000,0.30105,0.00000
0.09167,0.09167,1.00000,0.431432,0.00295,0.96446,-0.01257,0.85757,0.40397,0.22909,1.55000,0.96500,1.56067,0.85680,1.13740,0.23283,0.16142,1.37770,0.01503,1.11599,0.07881,1.59634,0.00295,1.55000,0.30441,0.00000
0.10000,0.10000,1.00000,0.402246,0.00390,0.96436,-0.00906,0.85892,0.42207,0.24035,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16298,1.37728,0.01249,1.11791,0.08063,1.59612,0.00390,1.55000,0.30991,0.00000
0.10833,0.10833,1.00000,0.409020,0.00502,0.96426,-0.01509,0.86198,0.41056,0.23963,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16467,1.37691,0.00874,1.12077,0.08257,1.59589,0.00502,1.55000,0.31736,0.00000
0.11667,0.11667,1.00000,0.416495,0.00632,0.96414,-0.02204,0.86591,0.39785,0.23966,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16644,1.37664,0.00417,1.12447,0.08439,1.59570,0.00632,1.55000,0.32659,0.00000
0.12500,0.12500,1.00000,0.425682,0.00780,0.96403,-0.03043,0.87080,0.38223,0.23976,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16851,1.37625,-0.00124,1.12905,0.08664,1.59547,0.00780,1.55000,0.33743,0.00000
0.13333,0.13333,1.00000,0.436019,0.00947,0.96390,-0.03973,0.87666,0.36465,0.24028,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17072,1.37590,-0.00718,1.13450,0.08901,1.59524,0.00947,1.55000,0.34971,0.00000
0.14167,0.14167,1.00000,0.447251,0.01132,0.96377,-0.04976,0.88350,0.34555,0.24145,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17312,1.37554,-0.01355,1.14085,0.09152,1.59501,0.01132,1.55000,0.36328,0.00000
0.15000,0.15000,1.00000,0.459417,0.01336,0.96363,-0.06030,0.89128,0.32485,0.24309,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17575,1.37517,-0.02004,1.14804,0.09428,1.59477,0.01336,1.55000,0.37799,0.00000
0.15833,0.15833,1.00000,0.472025,0.01558,0.96348,-0.07100,0.90002,0.30341,0.24556,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17861,1.37483,-0.02650,1.15608,0.09718,1.59453,0.01558,1.55000,0.39368,0.00000
0.16667,0.16667,1.00000,0.485929,0.01797,0.96333,-0.08227,0.90979,0.27977,0.24840,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.18168,1.37438,-0.03296,1.16496,0.10047,1.59425,0.01797,1.55000,0.41022,0.00000
0.17500,0.17500,1.00000,0.499432,0.02054,0.96318,-0.09296,0.92026,0.25682,0.25232,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.18486,1.37406,-0.03897,1.17449,0.10356,1.59402,0.02054,1.55000,0.42748,0.00000
0.18333,0.18333,1.00000,0.513880,0.02326,0.96302,-0.10383,0.93178,0.23230,0.25686,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.18824,1.37374,-0.04468,1.18486,0.10693,1.59378,0.02326,1.55000,0.44532,0.00000
0.19167,0.19167,1.00000,0.528353,0.02615,0.96285,-0.11431,0.94393,0.20776,0.26219,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19165,1.37343,-0.04993,1.19574,0.11027,1.59355,0.02615,1.55000,0.46362,0.00000
0.20000,0.20000,1.00000,0.543152,0.02918,0.96268,-0.12438,0.95684,0.18271,0.26822,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19532,1.37309,-0.05450,1.20718,0.11394,1.59330,0.02918,1.55000,0.48226,0.00000
0.20833,0.20833,1.00000,0.557750,0.03235,0.96250,-0.13363,0.97020,0.15806,0.27491,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.19923,1.37278,-0.05820,1.21893,0.11773,1.59305,0.03235,1.55000,0.50113,0.00000
0.21667,0.21667,1.00000,0.572838,0.03564,0.96232,-0.14271,0.98425,0.13264,0.28232,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.20304,1.37248,-0.06147,1.23114,0.12142,1.59283,0.03564,1.55000,0.52012,0.00000
0.22500,0.22500,1.00000,0.587693,0.03904,0.96213,-0.15090,0.99861,0.10768,0.29033,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.20707,1.37222,-0.06381,1.24351,0.12527,1.59260,0.03904,1.55000,0.53913,0.00000
0.23333,0.23333,1.00000,0.602645,0.04255,0.96194,-0.15848,1.01330,0.08263,0.29889,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.21120,1.37189,-0.06541,1.25599,0.12932,1.59235,0.04255,1.55000,0.55807,0.00000
0.24167,0.24167,1.00000,0.617567,0.04615,0.96175,-0.16524,1.02812,0.05770,0.30783,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.21556,1.37154,-0.06606,1.26838,0.13359,1.59207,0.04615,1.55000,0.57684,0.00000
0.25000,0.25000,1.00000,0.632184,0.04983,0.96155,-0.17126,1.04297,0.03338,0.31728,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.21987,1.37130,-0.06602,1.28065,0.13766,1.59185,0.04983,1.55000,0.59536,0.00000
0.25833,0.25833,1.00000,0.646280,0.05357,0.96135,-0.17645,1.05763,0.01004,0.32706,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.22417,1.37101,-0.06533,1.29262,0.14177,1.59163,0.05357,1.55000,0.61356,0.00000
0.26667,0.26667,1.00000,0.660678,0.05736,0.96114,-0.18112,1.07236,-0.01374,0.33717,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.22860,1.37071,-0.06390,1.30437,0.14606,1.59137,0.05736,1.55000,0.63136,0.00000
0.27500,0.27500,1.00000,0.674456,0.06120,0.96094,-0.18509,1.08682,-0.03637,0.34763,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.23285,1.37053,-0.06204,1.31579,0.15003,1.59118,0.06120,1.55000,0.64869,0.00000
0.28333,0.28333,1.00000,0.688476,0.06506,0.96072,-0.18845,1.10107,-0.05934,0.35820,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.23738,1.37020,-0.05938,1.32670,0.15439,1.59092,0.06506,1.55000,0.66549,0.00000
0.29167,0.29167,1.00000,0.701719,0.06893,0.96051,-0.19117,1.11477,-0.08091,0.36888,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.24168,1.36996,-0.05644,1.33707,0.15851,1.59071,0.06893,1.55000,0.68170,0.00000
0.30000,0.30000,1.00000,0.714854,0.07281,0.96029,-0.19331,1.12796,-0.10225,0.37948,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.24614,1.36965,-0.05291,1.34672,0.16282,1.59046,0.07281,1.55000,0.69729,0.00000
0.30833,0.30833,1.00000,0.727431,0.07668,0.96007,-0.19494,1.14067,-0.12256,0.39015,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.25049,1.36949,-0.04913,1.35586,0.16678,1.59027,0.07668,1.55000,0.71219,0.00000
0.31667,0.31667,1.00000,0.739859,0.08053,0.95985,-0.19622,1.15285,-0.14257,0.40076,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.25480,1.36924,-0.04509,1.36434,0.17093,1.59004,0.08053,1.55000,0.72637,0.00000
0.32500,0.32500,1.00000,0.752475,0.08434,0.95963,-0.19718,1.16448,-0.16287,0.41126,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.25925,1.36886,-0.04066,1.37201,0.17534,1.58976,0.08434,1.55000,0.73981,0.00000
0.33333,0.33333,1.00000,0.763817,0.08811,0.95940,-0.19765,1.17529,-0.18097,0.42147,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.26343,1.36871,-0.03632,1.37911,0.17914,1.58958,0.08811,1.55000,0.75246,0.00000
0.34167,0.34167,1.00000,0.775663,0.09183,0.95918,-0.19806,1.18568,-0.19989,0.43168,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.26766,1.36830,-0.03178,1.38548,0.18342,1.58930,0.09183,1.55000,0.76432,0.00000
0.35000,0.35000,1.00000,0.786396,0.09549,0.95895,-0.19818,1.19517,-0.21693,0.44140,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.27158,1.36810,-0.02746,1.39119,0.18712,1.58912,0.09549,1.55000,0.77536,0.00000
0.35833,0.35833,1.00000,0.797123,0.09908,0.95872,-0.19803,1.20395,-0.23397,0.45080,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.27572,1.36772,-0.02288,1.39602,0.19133,1.58884,0.09908,1.55000,0.78557,0.00000
0.36667,0.36667,1.00000,0.807202,0.10258,0.95849,-0.19780,1.21210,-0.24990,0.45989,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.27956,1.36748,-0.01856,1.40036,0.19504,1.58863,0.10258,1.55000,0.79495,0.00000
0.37500,0.37500,1.00000,0.816955,0.10600,0.95825,-0.19737,1.21938,-0.26533,0.46845,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.28348,1.36717,-0.01421,1.40383,0.19886,1.58838,0.10600,1.55000,0.80350,0.00000
0.38333,0.38333,1.00000,0.826049,0.10932,0.95802,-0.19674,1.22606,-0.27966,0.47663,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.28733,1.36686,-0.00993,1.40682,0.20252,1.58808,0.10932,1.55000,0.81122,0.00000
0.39167,0.39167,1.00000,0.834179,0.11254,0.95779,-0.19599,1.23202,-0.29241,0.48420,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29091,1.36657,-0.00596,1.40938,0.20600,1.58785,0.11254,1.55000,0.81814,0.00000
0.40000,0.40000,1.00000,0.841800,0.11565,0.95756,-0.19504,1.23733,-0.30434,0.49129,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29454,1.36618,-0.00197,1.41138,0.20971,1.58759,0.11565,1.55000,0.82426,0.00000
0.40833,0.40833,1.00000,0.848884,0.11864,0.95732,-0.19408,1.24224,-0.31539,0.49806,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.29794,1.36580,0.00177,1.41316,0.21319,1.58732,0.11864,1.55000,0.82960,0.00000
0.41667,0.41667,1.00000,0.854736,0.12152,0.95709,-0.19290,1.24624,-0.32447,0.50380,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30121,1.36549,0.00529,1.41444,0.21642,1.58709,0.12152,1.55000,0.83421,0.00000
0.42500,0.42500,1.00000,0.860398,0.12428,0.95686,-0.19176,1.24978,-0.33328,0.50918,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30438,1.36511,0.00867,1.41531,0.21966,1.58682,0.12428,1.55000,0.83811,0.00000
0.43333,0.43333,1.00000,0.865223,0.12691,0.95662,-0.19046,1.25261,-0.34078,0.51375,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.30747,1.36464,0.01192,1.41575,0.22298,1.58652,0.12691,1.55000,0.84135,0.00000
0.44167,0.44167,1.00000,0.869464,0.12941,0.95639,-0.18913,1.25498,-0.34737,0.51777,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.31045,1.36426,0.01500,1.41593,0.22602,1.58625,0.12941,1.55000,0.84396,0.00000
0.45000,0.45000,1.00000,0.873004,0.13178,0.95616,-0.18785,1.25681,-0.35287,0.52109,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.31314,1.36387,0.01775,1.41588,0.22884,1.58598,0.13178,1.55000,0.84601,0.00000
