wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.00000,0.00000,1.00000,0.898121,0.00000,0.96500,-0.00382,0.87639,0.01160,0.12256,1.55000,0.96500,1.55382,0.87639,1.53840,0.12256,0.15590,1.37975,0.15781,1.07986,0.07178,1.59749,0.00000,1.55000,0.30000,0.00000
0.00833,0.00833,1.00000,0.857680,0.00000,0.96499,-0.00874,0.86855,0.04597,0.11656,1.55000,0.96500,1.55874,0.86855,1.50403,0.11656,0.15591,1.37974,0.14205,1.08018,0.07178,1.59748,0.00000,1.55000,0.30000,0.00000
0.01667,0.01667,1.00000,0.816831,0.00001,0.96498,-0.01311,0.86203,0.08075,0.11392,1.55000,0.96500,1.56321,0.86212,1.46936,0.11401,0.15601,1.37966,0.12644,1.08124,0.07197,1.59743,0.00001,1.55000,0.30000,0.00000
0.02500,0.02500,1.00000,0.775058,0.00004,0.96495,-0.01698,0.85690,0.11604,0.11474,1.55000,0.96500,1.56694,0.85699,1.43364,0.11489,0.15607,1.37959,0.11086,1.08314,0.07206,1.59740,0.00004,1.55000,0.30000,0.00000
0.03333,0.03333,1.00000,0.734279,0.00012,0.96491,-0.02057,0.85325,0.15040,0.11891,1.55000,0.96500,1.57049,0.85341,1.39867,0.11927,0.15642,1.37938,0.09548,1.08576,0.07261,1.59730,0.00012,1.55000,0.30000,0.00000
0.04167,0.04167,1.00000,0.692976,0.00026,0.96487,-0.02358,0.85103,0.18516,0.12651,1.55000,0.96500,1.57334,0.85121,1.36322,0.12710,0.15668,1.37922,0.08029,1.08924,0.07298,1.59721,0.00026,1.55000,0.30000,0.00000
0.05000,0.05000,1.00000,0.652101,0.00048,0.96481,-0.02591,0.85022,0.21976,0.13738,1.55000,0.96500,1.57592,0.85052,1.32833,0.13834,0.15733,1.37896,0.06560,1.09346,0.07383,1.59706,0.00048,1.55000,0.30000,0.00000
0.05833,0.05833,1.00000,0.611580,0.00082,0.96474,-0.02784,0.85088,0.25384,0.15149,1.55000,0.96500,1.57788,0.85125,1.29352,0.15294,0.15797,1.37867,0.05115,1.09847,0.07475,1.59691,0.00082,1.55000,0.30000,0.00000
0.06667,0.06667,1.00000,0.571037,0.00128,0.96466,-0.02889,0.85292,0.28833,0.16891,1.55000,0.96500,1.57945,0.85346,1.25909,0.17092,0.15889,1.37834,0.03728,1.10424,0.07590,1.59672,0.00128,1.55000,0.30000,0.00000
0.07500,0.07500,1.00000,0.532224,0.00190,0.96458,-0.03085,0.85702,0.31979,0.18953,1.55000,0.96500,1.58032,0.85705,1.22456,0.19226,0.15988,1.37802,0.02281,1.11131,0.07712,1.59655,0.00190,1.55000,0.30135,0.00000
0.08333,0.08333,1.00000,0.488400,0.00269,0.96448,-0.02769,0.85997,0.35403,0.20975,1.55000,0.96500,1.57422,0.85846,1.18430,0.21312,0.16123,1.37770,0.01394,1.11651,0.07862,1.59635,0.00269,1.55000,0.30559,0.00000
0.09167,0.09167,1.00000,0.438228,0.00366,0.96438,-0.01928,0.86084,0.39242,0.22918,1.55000,0.96500,1.56067,0.85680,1.13740,0.23283,0.16258,1.37736,0.01030,1.11904,0.08019,1.59615,0.00366,1.55000,0.31248,0.00000
0.10000,0.10000,1.00000,0.412207,0.00482,0.96427,-0.01908,0.86398,0.40513,0.24065,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16431,1.37698,0.00535,1.12271,0.08212,1.59593,0.00482,1.55000,0.32176,0.00000
0.10833,0.10833,1.00000,0.421917,0.00619,0.96415,-0.02814,0.86907,0.38862,0.24074,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16625,1.37664,-0.00064,1.12750,0.08420,1.59570,0.00619,1.55000,0.33318,0.00000
0.11667,0.11667,1.00000,0.433352,0.00778,0.96402,-0.03862,0.87533,0.36918,0.24114,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.16850,1.37617,-0.00745,1.13334,0.08673,1.59543,0.00778,1.55000,0.34651,0.00000
0.12500,0.12500,1.00000,0.445868,0.00957,0.96388,-0.05012,0.88292,0.34789,0.24254,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17077,1.37583,-0.01499,1.14042,0.08911,1.59521,0.00957,1.55000,0.36152,0.00000
0.13333,0.13333,1.00000,0.459181,0.01159,0.96374,-0.06190,0.89157,0.32524,0.24456,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17354,1.37543,-0.02242,1.14844,0.09199,1.59494,0.01159,1.55000,0.37799,0.00000
0.14167,0.14167,1.00000,0.473764,0.01382,0.96359,-0.07446,0.90156,0.30045,0.24738,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17646,1.37498,-0.03016,1.15765,0.09512,1.59466,0.01382,1.55000,0.39570,0.00000
0.15000,0.15000,1.00000,0.488700,0.01626,0.96343,-0.08697,0.91268,0.27506,0.25129,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.17954,1.37462,-0.03766,1.16786,0.09825,1.59440,0.01626,1.55000,0.41448,0.00000
0.15833,0.15833,1.00000,0.504350,0.01891,0.96327,-0.09950,0.92497,0.24849,0.25609,1.55000,0.96500,1.55133,0.85608,1.10585,0.24776,0.18280,1.37430,-0.04482,1.17905,0.10142,1.59417,0.01891,1.55000,0.43411,0.00000
